Temp?ature1	Temp?ature2	Temp?ature3	Temp?ature4	Temp?ature5	Temp?ature6	Temp?ature7
79.97774	19.16196	81.10454	236.79882	80.79223	9.83028	9.8385
79.9929	19.14154	81.15432	236.68995	80.72433	9.82929	9.83883
80.02323	19.15686	81.14527	236.64046	80.69265	9.82962	9.8385
79.9929	19.1977	81.19053	236.49695	80.69718	9.83061	9.83751
79.99796	19.17217	81.23127	236.44251	80.73339	9.82929	9.83817
80.01312	19.11601	81.17695	236.36828	80.82391	9.83028	9.8385
80.02323	19.16707	81.20411	236.23961	80.78317	9.83028	9.83751
80.01818	19.16707	81.21769	236.11589	80.76507	9.82897	9.83751
80.03334	19.15175	81.19506	236.04661	80.75602	9.83061	9.83784
80.00807	19.14154	81.29011	236.03176	80.8058	9.83061	9.83751
79.98785	19.15175	81.2358	235.97732	80.79675	9.82962	9.83784
80.00807	19.15686	81.19506	235.89814	80.71981	9.82929	9.83817
80.00301	19.16707	81.2539	235.93279	80.67454	9.83061	9.83784
80.02829	19.16196	81.17695	235.82391	80.81486	9.82929	9.8385
80.01818	19.12111	81.18148	235.81401	80.74696	9.82897	9.83883
80.04851	19.16707	81.19506	235.83381	80.7017	9.83061	9.83817
80.00301	19.14664	81.20864	235.81401	80.74696	9.82929	9.83817
80.02829	19.16196	81.22222	235.64081	80.83749	9.82929	9.8385
80.02829	19.16707	81.20411	235.52204	80.74244	9.83028	9.83817
80.02829	19.15686	81.13169	235.4874	80.78317	9.82929	9.83784
80.01312	19.12622	81.22222	235.74473	80.7877	9.82962	9.83817
80.00807	19.17217	81.25843	235.97238	80.79223	9.82995	9.83817
80.04345	19.14154	81.18148	236.19012	80.73791	9.82929	9.8385
80.01818	19.15686	81.14527	236.26435	80.82391	9.83028	9.83817
80.00807	19.14154	81.20864	236.39797	80.79675	9.82962	9.83784
80.01312	19.15686	81.13169	236.39302	80.75149	9.82929	9.83784
80.02323	19.15686	81.15885	236.49695	80.7696	9.82995	9.83784
80.00301	19.14154	81.23127	236.68005	80.74696	9.83028	9.83686
80.01312	19.16196	81.19506	236.6751	80.79675	9.82929	9.83751
80.04345	19.14154	81.19053	236.79882	80.72433	9.82995	9.83751
80.0384	19.17217	81.20411	236.78892	80.72886	9.83028	9.83784
80.01312	19.15175	81.17243	236.95718	80.8058	9.82929	9.83817
80.01818	19.11601	81.24937	236.83841	80.73339	9.82864	9.8385
79.99796	19.15686	81.21316	236.76418	80.7877	9.82995	9.83817
80.04851	19.15175	81.16338	236.83346	80.74696	9.82995	9.8385
80.01818	19.14664	81.2539	236.7048	80.71075	9.82864	9.83883
80.02323	19.13133	81.24032	236.87305	80.7017	9.83028	9.83784
80.01312	19.16196	81.12717	236.88295	80.71528	9.82962	9.83817
80.02323	19.14664	81.19959	236.80872	80.70623	9.82897	9.83751
80.02829	19.15175	81.24937	236.91759	80.77865	9.83127	9.83817
79.98279	19.17217	81.19959	236.86811	80.77412	9.83028	9.83784
79.99796	19.14664	81.18148	236.74439	80.67454	9.82897	9.83817
80.0384	19.13643	81.1679	236.6949	80.75602	9.83028	9.83817
80.00807	19.13643	81.22222	236.53159	80.76507	9.83061	9.83718
79.9929	19.13133	81.1679	236.58108	80.79675	9.82864	9.83751
80.01312	19.13643	81.16338	236.37818	80.76507	9.83028	9.83817
80.04345	19.16196	81.18601	236.37818	80.83749	9.83028	9.83751
80.01818	19.14154	81.13169	236.32374	80.84654	9.82929	9.8385
80.0384	19.17217	81.19959	236.37818	80.77412	9.83028	9.83916
80.01312	19.16707	81.15885	236.42766	80.77412	9.82995	9.83784
80.01312	19.14664	81.15885	236.53159	80.74244	9.82962	9.83883
79.96257	19.13133	81.15432	236.59592	80.74244	9.82864	9.83817
80.00301	19.13133	81.21316	236.55633	80.78317	9.83061	9.83883
80.01312	19.16707	81.14074	236.73944	80.81486	9.82995	9.83883
79.97774	19.14154	81.19053	236.83346	80.7017	9.82831	9.84014
80.0384	19.15175	81.20864	236.82851	80.83749	9.82995	9.83883
80.02829	19.12111	81.1679	236.92749	80.7877	9.83028	9.8385
79.98785	19.1058	81.18601	236.9077	80.85559	9.82831	9.83817
80.0384	19.14664	81.17695	237.03636	80.8058	9.83028	9.83784
80.02829	19.14664	81.19053	237.12049	80.72433	9.83028	9.83751
80.0384	19.13133	81.19959	237.26896	80.79223	9.82929	9.83817
80.02323	19.13133	81.15885	237.22937	80.7017	9.82995	9.83883
80.03334	19.15175	81.13622	237.14524	80.75602	9.82995	9.83817
80.04851	19.17217	81.13169	237.28875	80.74696	9.82995	9.83817
80.01818	19.1058	81.18148	237.33824	80.82391	9.82831	9.8385
80.03334	19.15686	81.12264	237.42732	80.86465	9.83061	9.83817
80.01818	19.17728	81.16338	237.54114	80.71528	9.82962	9.83784
80.06368	19.14664	81.19959	237.66981	80.74696	9.82897	9.83883
80.03334	19.15686	81.20411	237.74899	80.75602	9.83061	9.83883
80.02323	19.15175	81.18601	237.80343	80.81486	9.83094	9.83817
80.00301	19.13643	81.11811	238.01127	80.86465	9.82897	9.83916
80.03334	19.13643	81.23127	238.02117	80.65644	9.83028	9.8385
80.00301	19.16707	81.21316	238.00138	80.7017	9.83094	9.8385
80.00807	19.13643	81.21769	237.84796	80.71075	9.82831	9.83817
79.9929	19.13643	81.12264	237.5065	80.88275	9.83094	9.83883
80.00807	19.16196	81.22222	237.40752	80.78317	9.82995	9.83751
80.00807	19.18239	81.16338	237.53124	80.77865	9.82929	9.8385
80.03334	19.15686	81.17695	237.37288	80.7877	9.82962	9.83751
80.05357	19.16707	81.14527	237.55599	80.72433	9.83028	9.83751
80.02323	19.15175	81.21769	237.7193	80.77865	9.82897	9.83784
80.0384	19.14664	81.19959	237.77373	80.7696	9.83028	9.83817
80.00301	19.13133	81.11811	237.80837	80.77865	9.83028	9.83817
79.99796	19.14154	81.1498	237.96674	80.72886	9.82962	9.83817
79.98785	19.15175	81.29011	237.95189	80.79675	9.82995	9.83883
80.02829	19.14664	81.0638	238.15974	80.69265	9.83028	9.83751
79.97774	19.15686	81.17243	238.14984	80.87822	9.82995	9.83817
80.02323	19.14154	81.21316	238.14489	80.77412	9.82962	9.83817
80.01312	19.16707	81.17695	238.29335	80.74244	9.83028	9.83751
80.02829	19.16707	81.19053	238.17953	80.7696	9.82962	9.83784
80.01312	19.15175	81.21316	238.18943	80.7017	9.82995	9.8385
80.00807	19.13643	81.16338	238.16469	80.74696	9.83028	9.83817
79.96257	19.13643	81.20411	238.13004	80.76507	9.82864	9.83784
79.98279	19.13643	81.14527	238.24882	80.71528	9.82995	9.83784
80.00301	19.16707	81.27201	238.15974	80.75602	9.83028	9.8385
80.01312	19.17728	81.14527	238.23397	80.80128	9.82995	9.8385
80.00807	19.14154	81.22674	238.22902	80.73339	9.83061	9.83817
80.00807	19.18749	81.21769	238.28346	80.69265	9.82962	9.83718
80.01818	19.11601	81.22222	238.328	80.77865	9.82962	9.83784
79.98785	19.13133	81.20864	238.33789	80.77865	9.82962	9.83817
80.00807	19.16707	81.09096	238.36264	80.81486	9.83028	9.83686
79.97268	19.13133	81.1679	238.38738	80.77412	9.82897	9.83784
80.01818	19.15686	81.12264	238.37748	80.71075	9.82995	9.83883
80.00301	19.15686	81.24485	238.33789	80.67454	9.82995	9.83817
80.02323	19.14154	81.2539	238.29335	80.77412	9.82897	9.83883
80.04851	19.14664	81.18148	238.44182	80.73791	9.82995	9.83883
79.97774	19.17217	81.23127	238.42202	80.7877	9.83061	9.83784
80.01818	19.1109	81.18601	238.58038	80.73791	9.82897	9.83883
80.02829	19.1058	81.22222	238.69916	80.81033	9.83028	9.83817
80.04345	19.14154	81.19506	238.7338	80.76507	9.83028	9.83653
80.02829	19.13133	81.26748	238.78328	80.72886	9.82897	9.8385
80.04851	19.15175	81.19506	238.84267	80.73791	9.83028	9.8385
80.01312	19.17217	81.18148	238.85257	80.71981	9.82995	9.83817
80.00301	19.15686	81.15432	238.9367	80.73339	9.82864	9.83916
80.02323	19.17217	81.10001	238.92185	80.76507	9.83028	9.83883
80.00301	19.17728	81.1498	238.94659	80.75149	9.83028	9.83751
79.97268	19.15175	81.16338	238.92185	80.76054	9.82831	9.83883
80.00807	19.14154	81.15432	239.00598	80.75602	9.82995	9.83784
80.02829	19.1926	81.23127	238.88226	80.78317	9.83061	9.83751
80.00807	19.12622	81.24485	238.95154	80.65644	9.82831	9.83817
80.02829	19.17728	81.15432	238.9268	80.67454	9.83028	9.83784
80.02829	19.17217	81.10906	239.09011	80.79223	9.83028	9.83751
80.00807	19.15686	81.06833	239.02083	80.76507	9.82864	9.83751
80.02323	19.14154	81.20411	238.98618	80.82844	9.83028	9.83784
79.97774	19.17728	81.24485	239.00598	80.7696	9.83028	9.83784
79.99796	19.14154	81.17695	238.9169	80.77412	9.82897	9.83817
80.02323	19.13133	81.22674	238.92185	80.74696	9.83061	9.83817
79.98785	19.14664	81.23127	238.9268	80.63381	9.83028	9.83817
80.04345	19.1058	81.12264	238.89216	80.72886	9.82864	9.8385
80.02323	19.14664	81.10454	238.97629	80.80128	9.83094	9.83817
80.00301	19.14664	81.21769	239.02083	80.72886	9.82962	9.83817
80.02829	19.14154	81.21316	238.86741	80.79675	9.82897	9.8385
80.03334	19.13133	81.1498	238.96144	80.7877	9.83028	9.83784
79.97774	19.18239	81.11811	238.94659	80.71528	9.82995	9.83784
79.9929	19.14664	81.19053	238.83277	80.7017	9.82929	9.83817
79.99796	19.14154	81.18601	238.91195	80.6836	9.83028	9.83751
80.0384	19.15175	81.1679	238.82287	80.6836	9.82962	9.83817
80.05357	19.12622	81.1498	238.78823	80.81938	9.82864	9.8385
80.02323	19.14664	81.20864	238.78328	80.81033	9.83028	9.83751
80.03334	19.14154	81.29011	238.67936	80.77865	9.82962	9.83817
80.02829	19.16196	81.18148	238.75359	80.79223	9.82995	9.83817
80.02323	19.14154	81.21769	238.72885	80.78317	9.83028	9.83784
79.99796	19.12111	81.21316	238.74369	80.77865	9.82995	9.83784
79.99796	19.11601	81.28558	238.77339	80.8058	9.82962	9.83883
80.01818	19.14664	81.20411	238.74864	80.71981	9.83028	9.83784
80.0384	19.15175	81.25843	238.79813	80.7696	9.82929	9.83817
80.00807	19.18749	81.14074	238.73875	80.79223	9.82995	9.8385
80.01312	19.14664	81.17243	238.81298	80.71981	9.82962	9.83817
79.9929	19.16707	81.22222	238.89711	80.72433	9.82897	9.83817
80.01818	19.14154	81.19506	238.86741	80.71075	9.82962	9.83784
80.01312	19.18239	81.24937	239.00103	80.71075	9.82995	9.83784
80.01312	19.15686	81.15885	238.9169	80.71981	9.82929	9.83784
80.00301	19.14154	81.19053	239.14455	80.84201	9.82962	9.83817
80.02323	19.14154	81.20864	239.09011	80.64739	9.83094	9.8385
80.00301	19.14154	81.20864	239.06537	80.79223	9.82995	9.83817
80.02323	19.13643	81.15432	239.14455	80.8058	9.82864	9.8385
80.02829	19.14664	81.26748	239.04557	80.7696	9.83061	9.8385
80.02829	19.17217	81.29011	239.1198	80.79675	9.83028	9.83751
80.05357	19.16196	81.19959	239.18414	80.71981	9.82831	9.83784
80.0384	19.16707	81.22674	239.15444	80.81033	9.83028	9.83817
80.01312	19.17728	81.29916	239.13465	80.63833	9.82929	9.83784
80.00807	19.1109	81.14527	239.14455	80.73339	9.82864	9.8385
80.00301	19.13133	81.2358	239.15939	80.7696	9.83028	9.8385
80.02829	19.16196	81.17243	239.18414	80.75149	9.82995	9.83784
79.99796	19.13643	81.28106	239.1297	80.79675	9.82831	9.83817
80.01312	19.08537	81.24937	239.08021	80.71075	9.82995	9.83817
80.00301	19.18239	81.21769	239.20888	80.72886	9.82995	9.83817
80.00807	19.13643	81.13169	239.27321	80.75602	9.82929	9.83784
80.02829	19.14664	81.18148	239.28311	80.73791	9.82995	9.83784
80.01818	19.15175	81.14074	239.28311	80.67002	9.83028	9.83751
80.02323	19.12622	81.18601	239.40683	80.81486	9.82929	9.83817
80.06873	19.13643	81.1679	239.38209	80.77412	9.83028	9.83751
80.02323	19.16707	81.2358	239.3128	80.77412	9.83061	9.83784
80.00807	19.14154	81.15432	239.38209	80.83749	9.82962	9.83883
79.97774	19.14664	81.15885	239.29301	80.85559	9.83028	9.8385
79.99796	19.13643	81.22222	239.27816	80.81938	9.83094	9.83817
80.01312	19.12622	81.27653	239.29796	80.73791	9.82897	9.83784
80.02829	19.11601	81.22674	239.30786	80.77412	9.83061	9.83784
80.05357	19.14664	81.14527	239.20393	80.71075	9.83028	9.83784
80.05357	19.14664	81.1498	239.22373	80.7696	9.82929	9.83817
80.01818	19.13643	81.21316	239.20888	80.71528	9.83028	9.83817
80.00301	19.17217	81.16338	239.18909	80.6836	9.83028	9.83718
79.99796	19.16196	81.19959	239.1099	80.77412	9.82897	9.83817
80.01312	19.13643	81.1679	239.03567	80.71075	9.82995	9.8385
79.99796	19.1926	81.28106	239.07031	80.78317	9.83028	9.8385
80.02323	19.12111	81.15885	239.14455	80.79223	9.82897	9.8385
80.05357	19.14154	81.19959	239.16929	80.77412	9.83028	9.83817
80.05862	19.13643	81.16338	239.07526	80.82844	9.83028	9.83784
80.02323	19.14664	81.14527	239.01588	80.76507	9.82995	9.83784
80.05357	19.13643	81.20411	238.93175	80.7877	9.82962	9.83784
80.03334	19.15686	81.18148	238.92185	80.81033	9.82995	9.83817
80.02323	19.15686	81.16338	238.94165	80.74244	9.82897	9.8385
80.02829	19.16707	81.14074	238.81793	80.71981	9.83094	9.83883
80.03334	19.16196	81.20411	238.79318	80.73339	9.83028	9.83949
79.96763	19.14154	81.16338	238.78823	80.73791	9.83094	9.8385
80.0384	19.13133	81.15885	238.73875	80.8058	9.83028	9.83883
80.02323	19.15686	81.13169	238.72885	80.78317	9.82995	9.83784
80.02323	19.14664	81.21769	238.71895	80.81033	9.82929	9.83817
80.00301	19.13133	81.1679	238.73875	80.78317	9.82995	9.83916
79.9929	19.16196	81.15885	238.7041	80.81938	9.82962	9.8385
80.00301	19.13643	81.15432	238.61503	80.75602	9.82962	9.8385
80.03334	19.14664	81.13622	238.5309	80.76507	9.83028	9.83883
80.02323	19.14154	81.24032	238.47646	80.86917	9.83028	9.83784
80.01818	19.11601	81.22222	238.61997	80.79223	9.82864	9.8385
80.0384	19.12622	81.21769	238.75359	80.79675	9.82962	9.8385
80.05357	19.17217	81.1679	238.81793	80.73339	9.82962	9.83817
80.03334	19.13133	81.12717	238.76844	80.73339	9.82995	9.83817
80.02323	19.13133	81.23127	238.93175	80.83296	9.82995	9.83784
80.05357	19.13643	81.27653	238.93175	80.7696	9.82995	9.83751
80.00807	19.13643	81.19506	239.06042	80.84654	9.82962	9.83784
80.06873	19.15686	81.26295	239.12475	80.73339	9.83028	9.83817
80.0384	19.14154	81.11811	239.20888	80.81033	9.83028	9.83817
80.02323	19.12622	81.22674	239.19403	80.8058	9.82962	9.83817
80.01818	19.14154	81.21769	239.22373	80.69718	9.83061	9.8385
80.03334	19.12622	81.17243	239.28806	80.7877	9.83028	9.83751
80.01818	19.14664	81.10906	239.26827	80.7017	9.82897	9.83784
80.01312	19.12111	81.13169	239.26332	80.7017	9.83028	9.8385
80.02829	19.16196	81.15432	239.14455	80.79223	9.83028	9.83751
80.00807	19.16707	81.19506	239.13465	80.75149	9.82897	9.83784
80.04851	19.11601	81.19506	239.10496	80.79675	9.82995	9.83817
79.9929	19.14664	81.2539	239.02083	80.75602	9.83094	9.83686
80.04345	19.18239	81.19506	239.06042	80.86012	9.82897	9.83817
80.03334	19.14664	81.19506	239.10496	80.71981	9.83028	9.8385
79.99796	19.16707	81.22674	238.99608	80.82391	9.82995	9.83817
79.95752	19.1109	81.15885	239.06537	80.77412	9.82929	9.8385
80.04851	19.15686	81.19506	239.03072	80.71981	9.82995	9.83784
80.01818	19.13643	81.17243	239.10496	80.77412	9.83028	9.83686
80.01312	19.13133	81.15432	239.04557	80.75602	9.82929	9.83817
80.00301	19.15175	81.15432	238.94659	80.76054	9.83061	9.83784
80.00807	19.12622	81.19959	239.01588	80.69265	9.83028	9.83784
80.05357	19.13643	81.19053	239.09011	80.71075	9.82897	9.83784
80.05862	19.15686	81.22674	239.09011	80.69718	9.83028	9.83817
80.03334	19.14664	81.15885	239.08021	80.73791	9.83028	9.83817
80.00301	19.13643	81.12264	239.10496	80.83749	9.82962	9.83784
80.04851	19.13133	81.21769	239.23857	80.71528	9.83061	9.8385
80.0384	19.17728	81.22674	239.32765	80.81938	9.83061	9.83784
79.99796	19.15175	81.19506	239.3524	80.76507	9.82929	9.83784
80.0384	19.14664	81.15432	239.3128	80.7696	9.82995	9.83784
80.03334	19.13643	81.21769	239.45137	80.75602	9.82962	9.83653
80.0384	19.16707	81.24937	239.58004	80.79223	9.82864	9.83817
80.05357	19.17728	81.2358	239.50086	80.73791	9.82995	9.83817
80.02829	19.17728	81.19053	239.52065	80.71981	9.83028	9.83817
80.01312	19.15175	81.24032	239.71366	80.79223	9.82962	9.8385
80.02829	19.15175	81.16338	239.57509	80.74696	9.82962	9.83817
80.02829	19.1926	81.14527	239.68396	80.60665	9.82929	9.83883
80.02323	19.12111	81.17695	239.60478	80.76507	9.82929	9.8385
80.05862	19.14664	81.1679	239.67902	80.79223	9.83028	9.83784
80.02829	19.16707	81.17243	239.66912	80.62476	9.82995	9.83751
80.0384	19.12622	81.1679	239.71861	80.74696	9.82897	9.8385
80.00301	19.16196	81.16338	239.71366	80.7877	9.82995	9.83784
80.03334	19.16707	81.19959	239.73345	80.81938	9.82962	9.83784
80.03334	19.15686	81.13622	239.7582	80.72433	9.82798	9.83981
80.05357	19.1926	81.1679	239.70376	80.78317	9.83061	9.83883
80.02323	19.18239	81.2539	239.74335	80.71528	9.83094	9.83817
80.03334	19.14154	81.1679	239.7483	80.7696	9.82765	9.83817
80.04851	19.15175	81.17695	239.82748	80.72886	9.82995	9.83817
80.01312	19.15686	81.19959	239.78294	80.67002	9.83094	9.83784
80.0384	19.14154	81.26295	239.76314	80.76054	9.82864	9.83784
79.9929	19.17217	81.26748	239.82748	80.69718	9.83028	9.83817
80.02323	19.15175	81.25843	239.83243	80.79675	9.82962	9.83751
80.02323	19.12111	81.16338	239.86212	80.74696	9.82897	9.83784
79.98785	19.14664	81.23127	240.00564	80.77412	9.83094	9.83817
80.00807	19.12111	81.14074	239.93635	80.82844	9.82962	9.83784
80.05357	19.15686	81.15885	239.76314	80.74696	9.82897	9.83883
80.02323	19.14664	81.23127	239.90666	80.79223	9.82995	9.83751
80.01818	19.16196	81.17243	239.81758	80.6836	9.82995	9.83817
80.02829	19.16707	81.15885	239.71861	80.74696	9.82962	9.8385
80.05357	19.16196	81.19506	239.80273	80.79223	9.83028	9.83751
80.02829	19.16707	81.09548	239.7384	80.8737	9.82929	9.83784
80.01818	19.17217	81.21316	239.84233	80.75149	9.82995	9.83817
80.05357	19.16196	81.11811	239.84727	80.67454	9.83028	9.83751
80.02323	19.14664	81.19959	240.06502	80.81033	9.82864	9.83784
80.00301	19.16196	81.11811	240.07492	80.79675	9.82929	9.8385
80.04345	19.17217	81.20864	239.93635	80.81033	9.83061	9.83817
80.0384	19.13133	81.19053	240.01058	80.75602	9.82897	9.83883
80.06368	19.15686	81.24485	239.81758	80.68812	9.83028	9.83817
80.02323	19.1926	81.16338	239.7582	80.72433	9.82995	9.83784
80.01818	19.16196	81.14074	239.72355	80.73791	9.82864	9.83751
80.01818	19.14154	81.14527	239.62953	80.72886	9.83028	9.83751
80.02323	19.17728	81.19506	239.78789	80.65644	9.82929	9.83718
80.05357	19.14664	81.15885	239.7384	80.81033	9.82864	9.8385
80.02323	19.14154	81.29011	239.79779	80.8918	9.83028	9.83751
80.01312	19.15175	81.12717	239.72355	80.71075	9.82962	9.8385
80.02829	19.15175	81.19506	239.70376	80.64286	9.82864	9.8385
80.06368	19.18239	81.18148	239.7285	80.8058	9.83028	9.8385
79.99796	19.15175	81.1498	239.78294	80.73791	9.83061	9.8385
80.01818	19.16196	81.14527	239.69386	80.85107	9.82929	9.8385
80.04851	19.14664	81.20411	239.68891	80.71981	9.83028	9.8385
80.05357	19.17217	81.1679	239.58994	80.76507	9.82962	9.83751
80.0384	19.14154	81.14527	239.7483	80.83749	9.82929	9.8385
80.02323	19.14664	81.19506	239.69881	80.71981	9.83094	9.83784
80.02829	19.16707	81.11811	239.71861	80.69265	9.82962	9.83784
79.99796	19.15686	81.14527	239.65427	80.79223	9.82929	9.8385
80.04345	19.16707	81.18148	239.68396	80.70623	9.83094	9.83817
80.02323	19.17728	81.11811	239.69881	80.81033	9.82995	9.83883
80.04345	19.12622	81.24485	239.66417	80.83296	9.82962	9.83949
