Temp?ature1	Temp?ature2	Temp?ature3	Temp?ature4	Temp?ature5	Temp?ature6	Temp?ature7
79.48738	18.88114	80.40297	229.88043	79.89151	9.83784	9.84672
79.47222	18.87093	80.42108	229.95467	79.94582	9.83686	9.84705
79.48738	18.86582	80.41202	229.91013	79.92772	9.83784	9.84672
79.46211	18.90667	80.33508	229.88538	79.97751	9.83883	9.84606
79.452	18.9373	80.31245	229.95961	79.93677	9.83817	9.84639
79.51266	18.86582	80.38034	229.85074	80.00014	9.83751	9.84639
79.46716	18.88624	80.3396	229.93982	79.90056	9.83653	9.84606
79.48738	18.87603	80.31697	229.95467	80.03635	9.83817	9.84573
79.46716	18.90156	80.38487	229.79136	79.86888	9.8385	9.84606
79.44694	18.88114	80.33055	229.92002	79.90509	9.83883	9.84606
79.452	18.85561	80.38939	229.98436	79.90961	9.83686	9.84672
79.48233	18.88624	80.35318	229.98931	79.88246	9.83784	9.84672
79.45705	18.92709	80.42108	229.95961	79.95488	9.8385	9.84672
79.47727	18.88624	80.39845	230.0388	79.97298	9.8385	9.84639
79.45705	18.90667	80.40297	230.019	80.01372	9.83817	9.84705
79.46716	18.91177	80.25361	230.02395	79.87793	9.83686	9.84606
79.452	18.89135	80.38487	229.97446	79.90056	9.83784	9.84507
79.452	18.89135	80.35771	230.01405	79.93225	9.83883	9.84573
79.46211	18.88114	80.31697	230.01405	79.92319	9.8385	9.84606
79.45705	18.88114	80.40297	230.0388	79.9413	9.8385	9.84639
79.45705	18.89135	80.29887	230.05859	79.91414	9.83686	9.84573
79.44694	18.89135	80.37581	230.09323	80.0273	9.83817	9.84606
79.44694	18.89135	80.32603	230.05859	79.92319	9.83817	9.84573
79.45705	18.88624	80.38939	230.06849	79.90509	9.83784	9.84573
79.47727	18.87603	80.34866	230.11798	79.98203	9.83817	9.84639
79.47222	18.88114	80.44823	230.11798	79.89151	9.83686	9.84639
79.49244	18.86071	80.40297	230.13777	79.99561	9.83784	9.8454
79.46716	18.92709	80.35771	230.12292	79.92772	9.8385	9.84573
79.47222	18.88114	80.33055	230.0091	79.94582	9.83883	9.84639
79.49244	18.87603	80.32603	230.07839	79.88698	9.83784	9.84672
79.45705	18.90156	80.45729	230.09818	79.98656	9.83751	9.84672
79.45705	18.90156	80.33055	230.04869	79.82362	9.83817	9.84672
79.452	18.92198	80.35318	230.06849	79.9413	9.8385	9.84639
