Temp?ature1	Temp?ature2	Temp?ature3	Temp?ature4	Temp?ature5	Temp?ature6	Temp?ature7
79.10825	18.94241	79.90056	237.37288	79.45247	9.84376	9.85033
79.07286	18.92709	79.86888	237.27885	79.42078	9.84244	9.85198
79.08803	18.9322	79.77383	237.24421	79.33026	9.84343	9.85165
79.09814	18.89135	79.89604	237.16503	79.41173	9.84277	9.85198
79.10825	18.94751	79.89151	237.16503	79.35289	9.84409	9.85132
79.10825	18.92198	79.74667	237.16998	79.41626	9.8431	9.85165
79.10319	18.9322	79.84172	237.19967	79.3891	9.84409	9.85099
79.09308	18.88624	79.86435	237.16008	79.47962	9.84212	9.85099
79.10825	18.94751	79.95488	237.18978	79.49773	9.84343	9.85099
79.09308	18.9373	79.83719	237.14029	79.34836	9.84212	9.85165
79.0678	18.96794	79.92319	237.19472	79.48868	9.84376	9.85066
79.10319	18.91177	79.82814	237.16503	79.46604	9.84146	9.85165
79.03747	18.94241	79.8734	237.24916	79.37099	9.84343	9.85198
79.06275	18.92709	79.85077	237.35309	79.37552	9.84212	9.85132
79.09814	18.9322	79.84172	237.36298	79.48415	9.84376	9.85033
79.08297	18.98836	79.90509	237.37288	79.40268	9.84179	9.85165
79.08297	18.92198	79.85077	237.40257	79.43436	9.84343	9.85066
79.07791	18.90156	79.89604	237.39762	79.47962	9.84179	9.85033
79.0678	18.94241	79.83719	237.45206	79.44794	9.8431	9.85033
79.09814	18.94241	79.84625	237.44711	79.52036	9.84244	9.85099
79.08297	18.92198	79.8553	237.54114	79.45247	9.84343	9.85066
79.08803	18.95262	79.84172	237.54114	79.3891	9.84212	9.85165
79.07791	18.98326	79.82362	237.61537	79.50225	9.84277	9.85165
79.09308	18.95262	79.86888	237.6896	79.43889	9.84146	9.85099
79.11836	18.9373	79.86888	237.7193	79.48868	9.8431	9.85099
79.08297	18.91688	79.81909	237.77373	79.42531	9.84212	9.85198
79.08803	18.94751	79.91867	237.76878	79.41626	9.84343	9.85165
79.07286	18.94751	79.83267	237.83807	79.33931	9.84244	9.85165
79.09308	18.92198	79.83267	237.8925	79.45247	9.84376	9.85165
79.07286	18.9322	79.81909	237.83807	79.42984	9.84244	9.85165
79.08803	18.95262	79.81004	237.88755	79.3891	9.84244	9.85198
79.06275	18.91177	79.80098	237.87766	79.35742	9.84277	9.85132
79.10319	18.92709	79.89604	237.94694	79.37099	9.84277	9.85231
79.05264	18.92198	79.86888	237.95189	79.48415	9.84376	9.85132
79.10319	18.90156	79.85077	237.94199	79.44341	9.84244	9.85231
79.09308	18.94241	79.85983	237.99148	79.39363	9.84343	9.85099
79.06275	18.91177	79.97298	237.97663	79.39815	9.84244	9.85099
79.04758	18.92198	79.88246	237.85291	79.48868	9.8431	9.85066
79.09308	18.91688	79.85077	237.98653	79.39363	9.84179	9.85132
79.09814	18.95262	79.81456	237.94694	79.44341	9.84343	9.85132
79.07286	18.92198	79.84172	238.06076	79.52489	9.84212	9.85099
79.06275	18.94241	79.88698	237.94199	79.44794	9.8431	9.85165
79.07791	18.91177	79.91414	237.97663	79.42984	9.84146	9.85099
79.09308	18.90156	79.90056	238.02612	79.37552	9.84244	9.85165
79.07286	18.89646	79.82814	238.03602	79.50678	9.84277	9.85198
79.1133	18.90156	79.89604	237.99643	79.36194	9.8431	9.85165
79.12341	18.92198	79.86888	237.97168	79.38457	9.84409	9.85198
79.10319	18.88114	79.79646	238.08056	79.47057	9.84212	9.85165
79.08297	18.91688	79.86888	238.14984	79.42531	9.84343	9.85066
79.08803	18.92198	79.92319	238.13499	79.42531	9.84146	9.85132
79.0678	18.92709	79.88246	238.07066	79.42531	9.8431	9.85066
79.07791	18.92709	79.89151	238.1251	79.41626	9.84146	9.85165
79.06275	18.9373	79.86888	238.14984	79.4072	9.8431	9.85132
79.04253	18.91688	79.89151	238.10035	79.28952	9.84244	9.85198
79.04758	18.94241	79.86435	238.1251	79.48868	9.84409	9.85198
79.07286	18.91177	79.86888	238.1152	79.39363	9.84244	9.85264
79.08297	18.91177	79.83719	237.9123	79.52941	9.84277	9.85132
79.08297	18.92198	79.92319	237.98653	79.33478	9.8431	9.85099
79.10825	18.90667	79.83267	237.96179	79.44794	9.84343	9.85132
79.08297	18.90156	79.9413	237.95189	79.39815	9.84343	9.85099
79.09308	18.9322	79.88698	237.83312	79.41626	9.8431	9.85165
79.05769	18.96283	79.89604	237.96179	79.46152	9.84376	9.85099
79.0678	18.92709	79.88698	237.98653	79.45699	9.84212	9.85165
79.07286	18.92709	79.84625	238.01622	79.41626	9.84277	9.85132
79.10319	18.90667	79.91414	238.01622	79.42531	9.84179	9.85165
79.06275	18.92198	79.83267	237.99643	79.48868	9.84409	9.85132
79.0678	18.92198	79.8734	238.03107	79.42984	9.84179	9.85099
79.05769	18.94241	79.83719	238.02117	79.44794	9.84277	9.85165
79.08297	18.95262	79.81456	237.87271	79.43889	9.84244	9.85165
79.05769	18.96794	80.00919	237.68465	79.42531	9.84343	9.85132
79.08297	18.90667	79.89604	237.81332	79.34384	9.84212	9.85066
79.10319	18.90156	79.90056	237.70445	79.48868	9.84376	9.85165
79.0678	18.92709	79.89151	237.81332	79.48415	9.84244	9.85231
79.03747	18.92198	79.7512	237.81332	79.52489	9.84376	9.85231
79.10825	18.91688	79.80551	237.77868	79.44341	9.84212	9.85165
79.07791	18.91177	79.92319	237.77373	79.4072	9.8431	9.85132
79.0678	18.90156	79.83267	237.72424	79.46152	9.8431	9.85165
79.10825	18.91688	79.84625	237.69455	79.44341	9.84409	9.85099
79.07286	18.91688	79.84172	237.75394	79.45247	9.84343	9.85132
79.06275	18.92198	79.8734	237.72919	79.44341	9.84343	9.85165
79.05264	18.91688	79.86435	237.65001	79.50678	9.84277	9.85132
79.10825	18.92198	79.82362	237.72424	79.35289	9.84277	9.85165
79.04758	18.94751	79.84172	237.7193	79.44341	9.84244	9.85132
79.10319	18.9322	79.92319	237.57578	79.46152	9.84244	9.85231
79.06275	18.88114	79.9413	237.7193	79.32573	9.84376	9.85132
79.07791	18.90667	79.73762	237.64506	79.42531	9.8431	9.85198
79.10319	18.90667	79.89151	237.70445	79.44341	9.84343	9.85099
79.09814	18.9322	79.85983	237.57578	79.44794	9.84244	9.85132
79.05264	18.9373	79.80551	237.61537	79.38457	9.84409	9.85066
79.08803	18.9322	79.86888	237.7094	79.41626	9.84244	9.85132
79.05769	18.96283	79.81909	237.65991	79.35742	9.84343	9.85132
79.0678	18.91177	79.93225	237.76878	79.4932	9.84244	9.85198
