Temp?ature1	Temp?ature2	Temp?ature3	Temp?ature4	Temp?ature5	Temp?ature6	Temp?ature7
80.19005	19.22323	80.82844	232.48349	80.42108	9.84409	9.85296
80.16478	19.25897	80.88728	232.57257	80.52971	9.84409	9.85198
80.19005	19.23855	80.71981	232.57257	80.49802	9.8431	9.85264
80.19005	19.25897	80.81033	232.56267	80.37581	9.84409	9.85198
80.11423	19.22834	80.7877	232.41915	80.41655	9.84343	9.85165
80.21533	19.23344	80.86917	232.34492	80.35318	9.84442	9.85198
80.17489	19.22834	80.85107	232.34492	80.40297	9.84409	9.85165
80.17994	19.22323	80.86465	232.29049	80.46181	9.84475	9.85231
80.19511	19.24366	80.89633	232.35482	80.42108	9.84409	9.85132
80.185	19.21813	80.84654	232.39441	80.35771	9.84343	9.85264
80.16983	19.23855	80.88275	232.26079	80.44371	9.84442	9.85165
80.185	19.20792	80.84654	232.2212	80.40297	9.84277	9.85296
80.16478	19.25387	80.92349	232.23605	80.34866	9.84475	9.85296
80.16983	19.20792	80.86917	232.23605	80.39845	9.84343	9.85264
80.19005	19.24876	80.94159	232.22615	80.47539	9.84409	9.85165
80.16983	19.20792	80.89633	232.2509	80.46181	9.84343	9.85198
80.19511	19.23855	80.80128	232.14697	80.37129	9.84442	9.85231
80.17489	19.24366	80.8918	232.24595	80.52971	9.84376	9.85198
80.185	19.24876	80.91896	232.35482	80.41655	9.84442	9.85198
80.16478	19.22834	80.92801	232.36967	80.33055	9.84409	9.85198
80.16983	19.21302	80.82844	232.56267	80.37581	9.84343	9.85198
80.14961	19.23344	80.7877	232.51318	80.40297	9.84409	9.85198
80.15972	19.22834	80.78317	232.51813	80.42108	9.84244	9.85395
80.15467	19.23855	80.91443	232.58741	80.43918	9.84409	9.85296
80.14456	19.24876	80.81938	232.52308	80.43466	9.84376	9.85231
80.15972	19.23855	80.85559	232.52308	80.38939	9.84376	9.85264
80.16478	19.20792	80.80128	232.51318	80.37129	9.84343	9.85264
80.17994	19.25897	80.84201	232.57751	80.43918	9.84442	9.85264
80.16478	19.21813	80.90086	232.59236	80.40297	9.84442	9.85231
80.20522	19.25897	80.84654	232.51813	80.36224	9.84442	9.85264
80.14456	19.2794	80.8918	232.434	80.43013	9.84442	9.85132
80.14961	19.23344	80.83749	232.42905	80.46634	9.84343	9.85264
80.16478	19.24876	80.86917	232.58246	80.39392	9.84442	9.85231
80.17489	19.1977	80.79223	232.55772	80.37581	9.84343	9.85329
80.19005	19.24366	80.86465	232.40926	80.36676	9.84475	9.85198
80.21028	19.21813	80.79675	232.38451	80.39392	9.8431	9.85198
80.14961	19.22834	80.83296	232.31028	80.4935	9.84409	9.85264
80.16983	19.24876	80.79675	232.39441	80.38034	9.84343	9.85231
80.17994	19.23855	80.85107	232.29543	80.38939	9.84442	9.85231
80.15467	19.23855	80.83749	232.45874	80.36224	9.84442	9.85132
80.16983	19.21813	80.84201	232.43895	80.4256	9.8431	9.85264
80.19511	19.24876	80.92349	232.39441	80.39392	9.84475	9.85231
80.16478	19.21813	80.85559	232.36472	80.44823	9.84277	9.85198
80.20017	19.22323	80.86917	232.33997	80.37129	9.84376	9.85198
80.19511	19.21302	80.85559	232.45874	80.36224	9.8431	9.85231
80.17489	19.24366	80.90538	232.28059	80.45729	9.84507	9.85132
80.21028	19.22834	80.85107	232.31028	80.37581	9.84442	9.85198
80.17489	19.22323	80.95064	232.2311	80.41655	9.84409	9.85231
80.17489	19.23855	80.82844	232.10243	80.33055	9.84376	9.85198
